queue_id,corpus_row,legal_name,purpose,predicted_sector,predicted_sector_name,top3,margin,stratum,true_sector,keywords_ground_truth,annotator_note
48,5042,Cmate Entertainment Beteiligungsgesellschaft mbH,"Die Beteiligung als persönlich haftende, geschäftsführende Gesellschafterin an einer Kommanditgesellschaft, die die Entwicklung, Herstellung und den Vertrieb von Film-, Video- und Fernsehproduktion zum Gegenstand hat.",C,Manufacturing,C|M|N,0.0006,low_margin,,,
49,6931,UNA-HAKRA Hanseatische Kraftfuttergesellschaft mbH,"Entwicklung, Herstellung und Vertrieb von Futtermitteln und Futtermittelzusätzen, insbesondere von Eiweißkonzentraten, sowie der Handel mit diesen Waren einschließlich Import und Export sowie die Durchführung aller damit zusammenhängenden Geschäfte.",C,Manufacturing,C|G|A,0.0001,low_margin,,,
50,442,"""schmahl heiztec gmbh""","der Heizungsbau, Solar- Sanitär-, Elektround Lüftungsbau sowie alle damit im Zusammenhang stehende Arbeiten.",D,"Electricity, Gas, Steam and Air Conditioning Supply",D|C|E,0.1558,representative,,,
51,9461,Hager Haustechnik GmbH,"Die Durchführung von Heizungs- und Sanitärarbeiten aller Art, sowie der Bau, die Wartung und Reparatur von Klimaanlagen",D,"Electricity, Gas, Steam and Air Conditioning Supply",D|E|F,0.1433,representative,,,
52,1312,Berning GmbH,"Die Durchführung sämtlicher Arbeiten für den Sanitär- und Heizungsbau, der Verkauf von Sanitär- und Heizungsanlagen sowie Zubehör, die Luftdichtheitsprüfung nach DIN 13829, Gebäudethermographie, Energieberatung sowie Energieausweiserstellung",D,"Electricity, Gas, Steam and Air Conditioning Supply",D|F|I,0.1263,representative,,,
53,9202,DME Deutschland GmbH,"ist die Planung, Montage, Demontage von und Service für Anlagen zur Durchführung von thermischen Prozessen einschließlich deren peripherer Systeme. Hierzu gehören insbesondere aber nicht abschließend: - Bauunternehmerische und bauplanerische Tätigkeiten im weitesten Sinne für eigene und für fremde Rechnung auf dem Gebiet des feuerfesten Ausbaus und Schornsteinbaus für Anlagen aller Art, insbesondere für Industrieanlagen sowie alle Tätigkeiten, die im Zusammenhang mit dem vorgenannten Zweck stehen. - Herstellung und Vertrieb von feuerfesten Erzeugnissen und Schornstein- Erzeugnissen. - Drittbezogener Personaleinsatz auf Grundlage von Dienst- und Werkverträgen sowie im Rahmen der gewerbsmäßigen und nicht gewerbsmäßigen Arbeitnehmerüberlassungen, unter Einhaltung der gesetzlichen Vorschriften und Voraussetzungen. - Aufheizen von Öfen aller Art.",D,"Electricity, Gas, Steam and Air Conditioning Supply",D|B|C,0.0737,representative,,,
54,4199,J. Christof Deutschland GmbH,Planen und Erstellen von Einrichtungen für die Elektrifizierung und Automatisierung in Anlagen der Industrie und der Energiewirtschaft sowie Beratungsleistungen auf diesen Gebieten.,D,"Electricity, Gas, Steam and Air Conditioning Supply",D|J|N,0.0369,representative,,,
55,8645,Forschungszentrum für Verbrennungsmotoren und Thermodynamik Rostock GmbH,Forschung auf dem Gebiet der Thermischen Maschinen und Anlagen sowie die Verwaltung von Forschungsmitteln und Organisation von Forschungsleistungen,D,"Electricity, Gas, Steam and Air Conditioning Supply",D|M|C,0.0259,representative,,,
56,7105,"Baumarkt- und Baustoffhandel GmbH Limbach-Oberfrohna/Sachsen, Sitz Burgstädt","Handel mit Festbrennstoffen, Heizöl, Diesel, Baustoffen, Baugeräten und technischen Gasen sowie Betrieb von Spedition und Baumärkten.",D,"Electricity, Gas, Steam and Air Conditioning Supply",D|G|C,0.0163,low_margin,,,
57,7625,Baugeschäft Helmut Bittmann GmbH,"Ausführung von Wärmedämmverbund-, Fassaden-, Fliesen-, Trockenbau-, Putz-, Estricharbeiten und Ausführungsarbeiten des Garten- und Landschaftsbaus sowie der Handel mit Teilen und Zubehör im Zusammenhang mit den vorstehenden Tätigkeiten.",D,"Electricity, Gas, Steam and Air Conditioning Supply",D|C|B,0.0148,low_margin,,,
58,4016,Stuber Energie & Sonnen GmbH,"Die Beratung in Zusammenhang mit, sowie die Planung und Konstruktion, Installation und Inbetriebnahme von regenerativen Anlagen aller Art (z.B. Solar-, Wind-, Biomasseenergie).",D,"Electricity, Gas, Steam and Air Conditioning Supply",D|M|C,0.0143,low_margin,,,
59,869,BAAZ GmbH,"Entwicklung und Produktion elektrischer Vorrichtungen für die alltägliche private und geschäftliche Nutzung sowie deren Im- und Export, ferner Dienstleistungsservice wie Beratung und Projektmanagement.",D,"Electricity, Gas, Steam and Air Conditioning Supply",D|N|C,0.0102,low_margin,,,
